State,State Code,Year,Year Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,1,1999,1999,Drug-Induced Causes,D,195,4430141,4.4,3.8,5,0.3
Alabama,1,1999,1999,Alcohol-Induced Causes,A,249,4430141,5.6,4.9,6.3,0.4
Alabama,1,1999,1999,Total,,444,4430141,10,9.1,11,0.5
Alabama,1,2000,2000,Drug-Induced Causes,D,232,4447100,5.2,4.5,5.9,0.3
Alabama,1,2000,2000,Alcohol-Induced Causes,A,238,4447100,5.4,4.7,6,0.3
Alabama,1,2000,2000,Total,,470,4447100,10.6,9.6,11.5,0.5
Alabama,1,2001,2001,Drug-Induced Causes,D,253,4467634,5.7,5,6.4,0.4
Alabama,1,2001,2001,Alcohol-Induced Causes,A,236,4467634,5.3,4.6,6,0.3
Alabama,1,2001,2001,Total,,489,4467634,10.9,10,11.9,0.5
Alabama,1,2002,2002,Drug-Induced Causes,D,248,4480089,5.5,4.8,6.2,0.4
Alabama,1,2002,2002,Alcohol-Induced Causes,A,212,4480089,4.7,4.1,5.4,0.3
Alabama,1,2002,2002,Total,,460,4480089,10.3,9.3,11.2,0.5
Alabama,1,2003,2003,Drug-Induced Causes,D,255,4503491,5.7,5,6.4,0.4
Alabama,1,2003,2003,Alcohol-Induced Causes,A,218,4503491,4.8,4.2,5.5,0.3
Alabama,1,2003,2003,Total,,473,4503491,10.5,9.6,11.4,0.5
Alabama,1,2004,2004,Drug-Induced Causes,D,327,4530729,7.2,6.4,8,0.4
Alabama,1,2004,2004,Alcohol-Induced Causes,A,250,4530729,5.5,4.8,6.2,0.3
Alabama,1,2004,2004,Total,,577,4530729,12.7,11.7,13.8,0.5
Alabama,1,2005,2005,Drug-Induced Causes,D,332,4569805,7.3,6.5,8,0.4
Alabama,1,2005,2005,Alcohol-Induced Causes,A,255,4569805,5.6,4.9,6.3,0.3
Alabama,1,2005,2005,Total,,587,4569805,12.8,11.8,13.9,0.5
Alabama,1,2006,2006,Drug-Induced Causes,D,466,4628981,10.1,9.2,11,0.5
Alabama,1,2006,2006,Alcohol-Induced Causes,A,249,4628981,5.4,4.7,6,0.3
Alabama,1,2006,2006,Total,,715,4628981,15.4,14.3,16.6,0.6
Alabama,1,2007,2007,Drug-Induced Causes,D,554,4672840,11.9,10.9,12.8,0.5
Alabama,1,2007,2007,Alcohol-Induced Causes,A,254,4672840,5.4,4.8,6.1,0.3
Alabama,1,2007,2007,Total,,808,4672840,17.3,16.1,18.5,0.6
