State,State Code,Year,Year Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,1,2002,2002,Female,F,25-34 years,25-34,Drug-Induced Causes,D,18,0,Unreliable,0,0,0
Alabama,1,2002,2002,Female,F,35-44 years,35-44,Drug-Induced Causes,D,26,0,0.0,0,0,0
Alabama,1,2002,2002,Female,F,45-54 years,45-54,Drug-Induced Causes,D,31,0,0.0,0,0,0
Alabama,1,2002,2002,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,17,323870,Unreliable,3.1,8.4,1.3
Alabama,1,2002,2002,Female,F,55-64 years,55-64,Drug-Induced Causes,D,14,234530,Unreliable,3.3,10,1.6
Alabama,1,2002,2002,Male,M,15-24 years,15-24,Drug-Induced Causes,D,26,323720,8.0,5.2,11.8,1.6
Alabama,1,2002,2002,Male,M,25-34 years,25-34,Drug-Induced Causes,D,34,0,0.0,0,0,0
Alabama,1,2002,2002,Male,M,35-44 years,35-44,Drug-Induced Causes,D,46,325253,14.1,10.4,18.9,2.1
Alabama,1,2002,2002,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,20,325253,6.1,3.8,9.5,1.4
Alabama,1,2002,2002,Male,M,45-54 years,45-54,Drug-Induced Causes,D,27,0,0.0,0,0,0
Alabama,1,2002,2002,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,63,306036,20.6,15.8,26.3,2.6
Alabama,1,2002,2002,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,51,0,0.0,0,0,0
Alabama,1,2002,2002,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,22,142310,15.5,9.7,23.4,3.3
Alabama,1,2003,2003,Female,F,25-34 years,25-34,Drug-Induced Causes,D,18,295047,Unreliable,3.6,9.6,1.4
Alabama,1,2003,2003,Female,F,35-44 years,35-44,Drug-Induced Causes,D,29,0,0.0,0,0,0
Alabama,1,2003,2003,Female,F,45-54 years,45-54,Drug-Induced Causes,D,26,328769,7.9,5.2,11.6,1.6
Alabama,1,2003,2003,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,21,0,0.0,0,0,0
Alabama,1,2003,2003,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,18,0,Unreliable,0,0,0
Alabama,1,2003,2003,Male,M,15-24 years,15-24,Drug-Induced Causes,D,26,0,0.0,0,0,0
Alabama,1,2003,2003,Male,M,25-34 years,25-34,Drug-Induced Causes,D,26,0,0.0,0,0,0
Alabama,1,2003,2003,Male,M,35-44 years,35-44,Drug-Induced Causes,D,57,0,0.0,0,0,0
Alabama,1,2003,2003,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,17,320230,Unreliable,3.1,8.5,1.3
Alabama,1,2003,2003,Male,M,45-54 years,45-54,Drug-Induced Causes,D,31,310588,10.0,6.8,14.2,1.8
Alabama,1,2003,2003,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,60,0,0.0,0,0,0
Alabama,1,2003,2003,Male,M,55-64 years,55-64,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2003,2003,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,39,0,0.0,0,0,0
Alabama,1,2003,2003,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,32,144167,22.2,15.2,31.3,3.9
Alabama,1,2004,2004,Female,F,25-34 years,25-34,Drug-Induced Causes,D,17,296051,Unreliable,3.3,9.2,1.4
Alabama,1,2004,2004,Female,F,35-44 years,35-44,Drug-Induced Causes,D,39,0,0.0,0,0,0
Alabama,1,2004,2004,Female,F,45-54 years,45-54,Drug-Induced Causes,D,36,334010,10.8,7.5,14.9,1.8
Alabama,1,2004,2004,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,22,0,0.0,0,0,0
Alabama,1,2004,2004,Female,F,55-64 years,55-64,Drug-Induced Causes,D,13,253296,Unreliable,2.7,8.8,1.4
Alabama,1,2004,2004,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,14,0,Unreliable,0,0,0
Alabama,1,2004,2004,Female,F,75-84 years,75-84,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
Alabama,1,2004,2004,Male,M,15-24 years,15-24,Drug-Induced Causes,D,43,328849,13.1,9.5,17.6,2
Alabama,1,2004,2004,Male,M,25-34 years,25-34,Drug-Induced Causes,D,32,0,0.0,0,0,0
Alabama,1,2004,2004,Male,M,35-44 years,35-44,Drug-Induced Causes,D,59,317137,18.6,14.2,24,2.4
Alabama,1,2004,2004,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,32,317137,10.1,6.9,14.2,1.8
Alabama,1,2004,2004,Male,M,45-54 years,45-54,Drug-Induced Causes,D,45,0,0.0,0,0,0
Alabama,1,2004,2004,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,58,0,0.0,0,0,0
Alabama,1,2004,2004,Male,M,55-64 years,55-64,Drug-Induced Causes,D,11,232067,Unreliable,2.4,8.5,1.4
Alabama,1,2004,2004,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,64,232067,27.6,21.2,35.2,3.4
Alabama,1,2004,2004,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Alabama,1,2004,2004,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,11,0,Unreliable,0,0,0
Alabama,1,2005,2005,Female,F,15-24 years,15-24,Drug-Induced Causes,D,10,325373,Unreliable,1.5,5.7,1
Alabama,1,2005,2005,Female,F,25-34 years,25-34,Drug-Induced Causes,D,23,297227,7.7,4.9,11.6,1.6
Alabama,1,2005,2005,Female,F,35-44 years,35-44,Drug-Induced Causes,D,38,328389,11.6,8.2,15.9,1.9
Alabama,1,2005,2005,Female,F,45-54 years,45-54,Drug-Induced Causes,D,33,0,0.0,0,0,0
Alabama,1,2005,2005,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,33,0,0.0,0,0,0
Alabama,1,2005,2005,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Alabama,1,2005,2005,Male,M,15-24 years,15-24,Drug-Induced Causes,D,35,332107,10.5,7.3,14.7,1.8
Alabama,1,2005,2005,Male,M,25-34 years,25-34,Drug-Induced Causes,D,54,288604,18.7,14.1,24.4,2.5
Alabama,1,2005,2005,Male,M,35-44 years,35-44,Drug-Induced Causes,D,53,0,0.0,0,0,0
