State,State Code,Year,Year Code,Race,Ten-Year Age Groups,Ten-Year Age Groups Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,1,2005,2005,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,11,163414,Unreliable,3.4,12,2
Alabama,1,2005,2005,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,13,163913,Unreliable,4.2,13.6,2.2
Alabama,1,2005,2005,Black or African American,35-44 years,35-44,Alcohol-Induced Causes,A,14,0,Unreliable,0,0,0
Alabama,1,2005,2005,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,12,167247,Unreliable,3.7,12.5,2.1
Alabama,1,2005,2005,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,36,0,0.0,0,0,0
Alabama,1,2005,2005,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,19,100949,Unreliable,11.3,29.4,4.3
Alabama,1,2005,2005,White,15-24 years,15-24,Drug-Induced Causes,D,44,432473,10.2,7.4,13.7,1.5
Alabama,1,2005,2005,White,25-34 years,25-34,Drug-Induced Causes,D,66,407876,16.2,12.5,20.6,2
Alabama,1,2005,2005,White,35-44 years,35-44,Drug-Induced Causes,D,78,0,0.0,0,0,0
Alabama,1,2005,2005,White,35-44 years,35-44,Alcohol-Induced Causes,A,21,0,0.0,0,0,0
Alabama,1,2005,2005,White,45-54 years,45-54,Drug-Induced Causes,D,74,0,0.0,0,0,0
Alabama,1,2005,2005,White,45-54 years,45-54,Alcohol-Induced Causes,A,69,481269,14.3,11.2,18.1,1.7
Alabama,1,2005,2005,White,55-64 years,55-64,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2005,2005,White,55-64 years,55-64,Alcohol-Induced Causes,A,52,0,0.0,0,0,0
Alabama,1,2005,2005,White,65-74 years,65-74,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Alabama,1,2006,2006,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,15,0,Unreliable,0,0,0
Alabama,1,2006,2006,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,17,164188,Unreliable,6,16.6,2.5
Alabama,1,2006,2006,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,12,171347,Unreliable,3.6,12.2,2
Alabama,1,2006,2006,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,24,171347,14.0,9,20.8,2.9
Alabama,1,2006,2006,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,15,108102,Unreliable,7.8,22.9,3.6
Alabama,1,2006,2006,White,15-24 years,15-24,Drug-Induced Causes,D,58,0,0.0,0,0,0
Alabama,1,2006,2006,White,25-34 years,25-34,Drug-Induced Causes,D,88,0,0.0,0,0,0
Alabama,1,2006,2006,White,35-44 years,35-44,Drug-Induced Causes,D,106,0,0.0,0,0,0
Alabama,1,2006,2006,White,35-44 years,35-44,Alcohol-Induced Causes,A,19,464971,Unreliable,2.5,6.4,0.9
Alabama,1,2006,2006,White,45-54 years,45-54,Drug-Induced Causes,D,87,489353,17.8,14.2,21.9,1.9
Alabama,1,2006,2006,White,45-54 years,45-54,Alcohol-Induced Causes,A,60,489353,12.3,9.4,15.8,1.6
Alabama,1,2006,2006,White,55-64 years,55-64,Drug-Induced Causes,D,36,0,0.0,0,0,0
Alabama,1,2006,2006,White,55-64 years,55-64,Alcohol-Induced Causes,A,56,408884,13.7,10.3,17.8,1.8
Alabama,1,2006,2006,White,65-74 years,65-74,Drug-Induced Causes,D,12,270949,Unreliable,2.3,7.7,1.3
Alabama,1,2006,2006,White,65-74 years,65-74,Alcohol-Induced Causes,A,34,0,0.0,0,0,0
Alabama,1,2006,2006,White,75-84 years,75-84,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2006,2006,White,75-84 years,75-84,Alcohol-Induced Causes,A,14,169920,Unreliable,4.5,13.8,2.2
Alabama,1,2007,2007,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
Alabama,1,2007,2007,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,18,0,Unreliable,0,0,0
Alabama,1,2007,2007,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,22,173931,12.6,7.9,19.2,2.7
Alabama,1,2007,2007,Black or African American,55-64 years,55-64,Drug-Induced Causes,D,16,115028,Unreliable,8,22.6,3.5
Alabama,1,2007,2007,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,21,0,0.0,0,0,0
Alabama,1,2007,2007,White,15-24 years,15-24,Drug-Induced Causes,D,65,0,0.0,0,0,0
Alabama,1,2007,2007,White,25-34 years,25-34,Drug-Induced Causes,D,91,408581,22.3,17.9,27.3,2.3
Alabama,1,2007,2007,White,35-44 years,35-44,Drug-Induced Causes,D,141,460923,30.6,25.5,35.6,2.6
Alabama,1,2007,2007,White,35-44 years,35-44,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alabama,1,2007,2007,White,45-54 years,45-54,Drug-Induced Causes,D,117,495165,23.6,19.3,27.9,2.2
Alabama,1,2007,2007,White,45-54 years,45-54,Alcohol-Induced Causes,A,76,495165,15.3,12.1,19.2,1.8
Alabama,1,2007,2007,White,55-64 years,55-64,Drug-Induced Causes,D,50,419238,11.9,8.9,15.7,1.7
Alabama,1,2007,2007,White,55-64 years,55-64,Alcohol-Induced Causes,A,59,419238,14.1,10.7,18.2,1.8
Alabama,1,2007,2007,White,65-74 years,65-74,Drug-Induced Causes,D,11,0,Unreliable,0,0,0
Alabama,1,2007,2007,White,65-74 years,65-74,Alcohol-Induced Causes,A,30,276230,10.9,7.3,15.5,2
Alabama,1,2008,2008,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,22,176093,12.5,7.8,18.9,2.7
Alabama,1,2008,2008,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,28,176093,15.9,10.6,23,3
Alabama,1,2008,2008,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,19,122042,Unreliable,9.4,24.3,3.6
Alabama,1,2008,2008,Black or African American,65-74 years,65-74,Alcohol-Induced Causes,A,13,0,Unreliable,0,0,0
Alabama,1,2008,2008,White,15-24 years,15-24,Drug-Induced Causes,D,47,0,0.0,0,0,0
Alabama,1,2008,2008,White,25-34 years,25-34,Drug-Induced Causes,D,145,410490,35.3,29.6,41.1,2.9
Alabama,1,2008,2008,White,35-44 years,35-44,Drug-Induced Causes,D,145,454697,31.9,26.7,37.1,2.6
Alabama,1,2008,2008,White,35-44 years,35-44,Alcohol-Induced Causes,A,24,0,0.0,0,0,0
Alabama,1,2008,2008,White,45-54 years,45-54,Drug-Induced Causes,D,156,499731,31.2,26.3,36.1,2.5
Alabama,1,2008,2008,White,45-54 years,45-54,Alcohol-Induced Causes,A,63,0,0.0,0,0,0
Alabama,1,2008,2008,White,55-64 years,55-64,Drug-Induced Causes,D,81,426097,19.0,15.1,23.6,2.1
Alabama,1,2008,2008,White,55-64 years,55-64,Alcohol-Induced Causes,A,63,0,0.0,0,0,0
Alabama,1,2008,2008,White,65-74 years,65-74,Drug-Induced Causes,D,12,285942,Unreliable,2.2,7.3,1.2
Alabama,1,2008,2008,White,65-74 years,65-74,Alcohol-Induced Causes,A,16,285942,Unreliable,3.2,9.1,1.4
